teks label 	label
sentra vaksinasi sumber wangi diperpanjang agustus madiun xe x x sentra vaksinasi covid sumber wangi diperpanjang layanan vaksinasi wisata diperpanjang agustus perpanjangan pengga 2 	2
xe x xcalhamdulillah angka penularan virus kian melandai antusiasme wisatawan melancong destinasi halal dunia 2 	2
mencegah kerusakan amp abrasi konservasi mangrove disulap kawasan wisata kelompok masyarakat tirtawangi merintis konservasi mangrove pantaibengkak banyuwangi jatim pandemi melanda sagakbr wisata 1 	1
dah nih gk liburan pasca pandemi saranin wisata yg keren dongggg tanggalgajian agustus 1 	1
abis pandemi kalinya kampus udah anunya gitu daerah wisata kabupaten 1 	1
wabah pmk pd hewan dgn bgmn pemerintah mengantisipasi pandemi covid bny pejabat menyepelekannya pandemi promo wisata digencarkan bg turis mancanegara hgg jt org terpapar covid dgn angka kematian gt rb jiwa 1 	1
bali pantai pandawa bali wisata bali pandemi pantai pas via 0 	0
desa wisata diharapkan membangkitkan lesunya bisnis pariwisata akibat xc xapandemi 2 	2
sektor desa wisata andalan mendorong kebangkitan ekonomi desa pasca pandemi momen lebaran libur 2 	2
kominfo blokir inanitu pegiat wisata labuan bajo blokir aktifitas akibat kebijakan anu anu tuhan abis pandemi je 1 	1
kominfo blokir inanitu pegiat wisata labuan bajo blokir aktifitas akibat kebijakan anu anu tuhan abis pandemi je rehat ka pdhal slogan g pulih sapaaaa 1 	1
kepikiran pandemi bikin wisata kuliner gitu fans bola kebanyakan mahasiswa diy biar tau lele mangut dst jogja gak gudeg 1 	1
dunia pendidikan status pandemi dicabut yah dinas pendidikan mengizinkan kegiatan karya wisata yah realitanya sekolah nekat sih xf xf x x 2 	2
sektor kesehatan erick momentum pandemi erick fasilitas rumah sakit skala internas 2 	2
sektor kesehatan erick momentum pandemi erick fasilitas rumah sakit skala internasional tujuan wisata medis sobaterick erickthohir 2 	2
wisata turkiye emang murah murah aja sih pandemi ya aja temen gw yg story nya lg liburan turki 2 	2
live now wisata dibuka bgmn berwisata aman pandemi yg diperhatikan gabung yuk ruangpublikkbr bareng amp stpmd apmd live yogyakarta live yt 2 	2
wisata dibuka bgamna berwisata aman pandemi ya 2 	2
wisata dibuka bgamna berwisata aman pandemi diperhatikan besok yuk gabung webinarkbrxpmi stpmd apmd yogyakarta live yogyakarta daftar 1 	1
satpolairud ajak nelayan pengelola objek wisata bangkit pasca pandemi 0 	0
gak suka acaranya baiknya diam gak merugikan acara digagas wisata berusaha comeback pandemi 1 	1
lanjutt acara gelar budaya salah desa wisata wonogiri tepatnya desa wisata conto ngrekso bumi tanggal suro juli budaya disetiap tahunnya pandemi kemarin terpaksa ditahan semoga lancar ya acaranya aamiin 2 	2
sampe komentarin sm keluarga krn ga setuju dgn pernyataan gue yg pg pandemi lbh aman krn orang byk yg ga tp emg kenyataan nya dibanding yg pilih wisata psbb lg kendor tp yaudah ya org pilihan 1 	1
gue amp keluarga dgn ttp wisata ky recharge energi krn berbulan xc xb dirumah aja pandemi keluarga gue emg yg ga berseliweran kalo ga butuh xc xb bgt mall jg jarang bgt krn tipe gue amp keluarga emg lbh suka main terbuka 2 	2
tp yg sebenernya adlh lg menikmati yg iya emg beresiko bgt xc xb rumah pandemi tp gue amp keluarga aman krn tmpt wisata tuh bener xc xb sepi jd intensitas ketemu org tuh minim bgt 1 	1
imbas pandemi covid kondisi wisata triple t selo boyolali 1 	1
perjalanan wisata pandemi berkunjung salah penggalan sejarah kota solo harta karun kota kisah mangkunegaran xf xf x x xf xf xf xbb xf xf x x xf xf xf xbb samsungmembers travelwithsamsungmembers xf xf x xbgalaxy m withgalaxy 1 	1
ditertibkan odong odong jalan raya mobil odong odong tsb aslinya angkutan khusus kawasan wisata pandemi covid wisata sepi mobil odong odong tsb berkeliaran jalan raya 1 	1
wisata masalalu tepatnya pandemi wkwkwkw yeaaa 1 	1
revitalisasi wisata diberbagai daerah menjadikan potensi ekonomi bumn kontribusi 2 	2
mas mentrih bumn kontribusi dlm menghidupkan sektor pariwisata yg terpukul pand 2 	2
pandemi bikin wisata hutan kota kaki gandul wonogiri bangkrut beritajogja jogja jogjaistimewa 1 	1
pandemi covid bikin wisata hutan kota kaki gandul wonogiri bangkrut 1 	1
wisata pandemi dolan pura mangkunegaran memanfaatkan mode auto ultrawide galaxy m xf xf x xb samsung galaxy m g powered by snapdragon g xf xf x xc lightroom shotonsnapdragon pakaisnapdragon 0 	0
fungsi bumn sbg agent of development memiliki peranan dlm program pemulihan ekonomi nasional dlm memb 2 	2
menteri bumn mendorong bumn bumn berperan membangkitkan sektor pariwisata 1 	1
pengen banget dieng wae rebo padar sumba kei inginnya ya min hehehe maklum gak pergi wisata pandemi reminbagigopay 2 	2
pandemi ga lg wisata corona xf xf x x xf xf x x 1 	1
fungsi bumn sbg agent of development memiliki peranan dlm program pemulihan ekonomi nasional dlm membangkitkan sektor pariwisata pasca pandemi dgn merevitalisasi objek xc xb wisata aset xc xb bumn bangkitbersamaet 1 	1
merta pudak wangi berbasis tabanan bali pulau ikon wisata indonesia bangkit hantaman pandemi covid digitalbisa untukindonesialebihbaik digitaluntukkitasemua 1 	1
merta pudak wangi berbasis tabanan bali pulau ikon wisata indonesia bangkit hantaman pandemi covid loh digitalbisa untukindonesialebihbaik digitaluntukkitasemua 1 	1
sektor desa wisata andalan mendorong kebangkitan ekonomi desa pasca pandemi momen lebaran liburan berdampak lonjakan tajam kunjungan wisatawan desa desa kemendespdtt sdgsdesa desabisa mulaidaridesa 2 	2
fungsi bumn sbg agent of development memiliki peranan program pemulihan ekonomi nasional dlm me 2 	2
nih yg menjadikan bali tujuan liburan bareng keluarga xf xf xa xb senaaaang deh lihat pariwisata bali ramai 2 	2
menteri bumn mendorong bumn bumn berperan membangkitkan sektor pariwisata terpuruk pandemi revitalisasi wisata salah upaya erick thohir xf xf x xd bangkitbersamaet 1 	1
ganjar sumbang perahu wisata taman jogo kali fx rudi ganjar berkomitmen menyelamatkan wisata air solo sepi pandemi buah perahu wisata menampung warga berjalan jalan mengitari sungai solo 1 	1
fx rudi berkomitmen menyelamatkan wisata air solo sepi pandemi 1 	1
fx rudi berkomitmen menyelamatkan wisata air solo sepi pandemi buah perahu wisata menampung warga berjalan jalan mengitari sungai solo sahabatganjar ganjarpranowo ganjar 1 	1
fx rudi ganjar berkomitmen menyelamatkan wisata air solo sepi pandemi buah perahu wisata menampung warga berjalan jalan mengitari sungai solo sahabatganjar ganjarpranowo ganjar 1 	1
festival musik terbesar kalbar bless this fest digelar pekan kota pontianak festival tertunda pandemi covid blessthisfest 1 	1
dadi singosari pengen ngrasakno malem mingguan nang mbatu kapok wes gak maneh maneh xf xf xa xa xf xf xa xa seneng ndelok wisata mbatu urip maneh pandemi xf xf x xc 1 	1
menteri sandiaga uno realisasikan juta lapangan kerja pandemi kabupaten blitar jawa timur anugerah desa wisata indonesia adwi kali menyambangi desa wisata semen sandiagauno adwi desawisatasemen 2 	2
haedar nashir kunjungan menteri pariwisata ekonomi kreatif ri sandiaga salahuddin uno rangka pe 2 	2
muhammadiyah haedar nashir kunjungan menteri pariwisata ekonomi kreatif ri sandiaga salahuddin uno rangka membicarakan pengembangan wisata kegiatan ekonomi hajat hidup rakyat muhammadiy 2 	2
haedar nashir kunjungan menteri pariwisata ekonomi kreatif ri sandiaga salahuddin uno rangka membicarakan pengembangan wisata kegiatan ekonomi hajat hidup rakyat muhammadiyah ekonomi 2 	2
ekonomi kreatif sektor pendukung pariwisata keberadaannya dipisahkan diharapkan pelaku ekonomi kreatif indonesia berperan aktif pengembangan pariwisata rangka peningkatan perekonomian pasca pandemi covid 2 	2
pandemi sulit pelaku sektor pariwisata bangkit menarik minat wisata masyarakat 2 	2
sepinya pengunjung dimasa pandemi mengakibatkan tersendatnya pemeliharaan wisata telaga biru berdampak penurunan kualitas kebersihan keindahan kesehatan keamanan 1 	1
pandemi covid dampak merosotnya kedatangan pengunjung wisata salah wisata kec cisoka telaga biru cisoka 1 	1
desa wisata bergerak bangkit pasca pandemi kemendes pdtt mendorong desa desa wisata dikelola 1 	1
kabar pandemi video replay berwisata new normal pandemi kabarpandemi wisa 1 	1
nesi bahas wisata gajah yg terbengkalai coba bahas junggleland duung tutup jg pas pandemi kmaren xf xf x x 1 	1
pandemi covid kawasan wisata monas ditutup 1 	1
pegiat wisata kota semarang gelar afternoon tea simak persiapan wisata pasca pandemi 2 	2
promosikan arung jeramaceh tenggara tim pemkab aceh tenggara berupaya mengangkat sektor pariwisata terpuruk akibat pandemi covid 1 	1
pengurusan visa negara negara eropa membeludak pasca pelonggaran syarat perjalanan menarik kedatangan wisatawan pengurusan visa dipermudah ceko ekonomi kompas 0 	0
lewatkan workshop harian kompas kilas wisata jakarta daftarkan mengikuti workshop info dapatkan tiket gratis masuk pekan raya jakarta voucer belanja senilai rp isiruma info prj 1 	1
sandiaga uno pandemi kunjungan desa wisata persen 2 	2
tingkat kunjungan wisatawan desa wisata persen pandemi xc xa 2 	2
sandi klaim kunjungan desa wisata pandemi 1 	1
ikuti workshop kilas wisata jakarta pekan raya jakarta hadir ira lathief founder komunitas wisata kreatif jakarta amp diah kusumawardani founder belantara budaya indonesia pendaftaran info 1 	1
foto semenjak pandemi covid tren wisata bermunculan salah satunya campervan ya lib 1 	1
pandemi selesai wisata kuliner malam 1 	1
nih yg menjadikan bali tujuan liburan bareng keluarga xf xf xa xb senaaaang deh lihat pariwisata bali ramai sekian pandemi xf xf x xad parents jadikan referensi wisata ramah anak hmm yg berkunjung xf xf x x 2 	2
gawai dayak nyelepat taun selesai digelar momen digelar ucapan syukur tuhan pandemi covid gawaidayak 1 	1
foto semenjak pandemi covid tren wisata bermunculan salah satunya campervan ya liburan campervan 0 	0
even wisata seru juli ajak kerabat teman kolega mitra dishubmgt berkunjung acara magetan tourism carfreeday pandemi event traveling 1 	1
webinar xc xapkk mengusung tema xe x xcpeluang industri wisata kreatif pasca pandemi xe x xd 1 	1
usaha akomodasi wisata gianyar insentif pajak bupati gianyar made agus mahayastra pandemi 0 	0
sl mengalami booming wisata periode id mengalami hantam pandemi bedanya id gelap mata sl lupa mari membandingkan langkah ekonomi id sl perkiraan kondisi 1 	1
usaha akomodasi wisata gianyar insentif pajak bupati gianyar made agus mahayastra pandemi usaha jalan pembayaran gaji karyawan tersendat kondisi mempengaruhi peningkatkan pad lantaran kesanggupan membayar pajak 2 	2
webinar xc xapkk mengusung tema xe x xcpeluang industri wisata kreatif pasca pandemi xe x xd 1 	1
pandemi pt sayaga wisata kehilangan pendapatan puluhan miliar bogor cibinong sayaga 1 	1
event pilar krb perihal wisata kaitanya alam variable yg mencukupi acaranya alam exsitu inspiratif membangun daya kreatif menyegarkan pasca pandemi menyebalkan 2 	2
wakil presiden ma xe x xruf amin desa salah titik pengungkit pemulihan ekonomi masyarakat pasca pandemi covid 1 	1
tour de north sulawesi potensi wisata era pandemi 1 	1
wakil presiden ma xe x xruf amin mrngatakan desa salah titik pengungkit pemulihan ekonomi masyarakat pasca pandemi covid pemerintah mendorong pergerakan ekonomi desa 1 	1
sapta pesona konsep sadar wisata melibatkan masyarakat 2 	2
desa wisata bergerak bangkit pasca pandemi kemendes pdtt mendorong desa desa wisata dikelola badan 1 	1
ketua tim penggerak pemberdayaan kesejahteraan keluarga tp pkk tri tito karnavian pandemi covid berdampak menurunnya kualitas kesehatan masyarakat 2 	2
pandemi selesai liburan suka bali kali generali merangkum tujuan 1 	1
partisipasi asita kegiatan table top bb session malaysia inbound tourism bimtek wisata ramah muslim tema bangkitkan ekonomi buka peluang usaha pasca pandemi diselenggarakan dinas parekraf dki jakarta perkumpulan pariwisata halal indonesia pphi 2 	2
ma xe x xruf amin desa salah titik pengungkit pemulihan ekonomi masyarakat pasca pandemi covid karen 1 	1
lumpuh pandemi wisata bahari karangasem mengeliat tribun bali 1 	1
efek pandemi wisata muncul konsep sustainable tourism simak penjelasannya artikel merahputihcom pandemi wisata liburan 1 	1
wapres desa salah titik pengungkit pemulihan ekonomi masyarakat pasca pandemi covid i 1 	1
ketum tp pkk bicara peluang industri wisata amp ekraf pandemi 1 	1
seiring membaiknya kondisi pandemi sektor pariwisata perlahan bangkit sobat valid berwisata wisata pariwisata liburan validnih validnews 2 	2
kayaknya slain wisatawan lokal yg berganti gaya wisata bule udah pd beda dgn pandemi mari perhatikan ajalah 1 	1
sekelas menteri pemikiran kayak gini ya pembenaran harga komoditas barang retail jasa wisata kemarin merugi pandemi 1 	1
wapres desa salah titik pengungkit pemulihan ekonomi masyarakat pasca pandemi covid pemerintah mendorong pergerakan ekonomi desa salah satunya program pengembangan desa wisata 1 	1
pandemi selesai liburan suka bali kali generali merangkum tujuan wisata hits bali super instagrammable gratis dikunjungi 1 	1
ma xe x xruf amin desa salah titik pengungkit pemulihan ekonomi masyarakat pasca pandemi covid pemerintah mendorong pergerakan ekonomi desa salah satunya program pengembangan desa wisata 1 	1
seriously tawaran iklan wisata wuhan pusat pandemi covid orang akal sehat pelesiran pusat penyakit membunuh jutaan manusia 1 	1
wapres desa salah titik pengungkit pemulihan ekonomi masyarakat pasca pandemi pemerintah mendorong pergerakn ekonomi desa salah satunya program pengembangn desa wisata desa wisata halal 1 	1
gaspol destinasi wisata wapres ma xe x xruf amin mrngatakan desa salah titik pengungkit pemulihan ekonomi masyarakat pasca pandemi covid pemerintah mendorong pergerakan ekonomi desa salah satunya program pengembangan desa wisata 1 	1
wisata sepede ituu chat xe x xd random malam pandemi 2 	2
monas dibuka ditutup akibat pandemi corona dibukanya wisata disambut gembira masyarakat jakarta 2 	2
sehat ekonomi menyembuhkan jurus pandemi masyarakat indonesia kebal virus asalakan ekonomi berkeadilan wujutkan pelabuhan singgahan pelni disetiap pelosok amp pulau xc xb natuna jd sejarah ntah kpn pelni berlabuh kesana majukan wisata serata pulau xc xb indonesia raya 2 	2
tips aman wisata pandemi corona jalanbareng 2 	2
fx rudi ganjar berkomitmen menyelamatkan wisata air solo sepi pandemi buah perahu 1 	1
pandemi covid menyebabkan wisata kuliner garut sepi 1 	1
mantep bu aja wisata penangkaran buka semenjak pandemi cov berkurang tutup gara gara pmk ga tau selesainya 1 	1
mendes pdtt abdul halim iskandar keynote speaker diskusi panel tema xe x xcpandemi global 2 	2
bali destinasi wisata favorit wisatawan rusia tercatat wisatawan mencapai orang pandemi 1 	1
arah wisata kepri luluh lantak dihantam pandemi covid tribun batam 1 	1
mendes pdtt abdul halim iskandar keynote speaker diskusi panel tema xe x xcpandemi global pemberdayaan ketahanan desa wisata wisata perdesaan hotel royal ambarukmo yogyakarta lengkap 2 	2
kerja dunia wisata telek belagu mentang pakai seragam free japrem dgn dalih haram jaddah kasih duit nya pandemi elu dpt gaji laah 1 	1
sektor pariwisata mengalami pukulan keras akibat pandemi covid statistik objek wisata pengunjung tenaga kerja sektor goodstats gnfi 1 	1
fx rudi ganjar berkomitmen menyelamatkan wisata air solo sepi krn pandemi buah perahu wisata yg menampung warga ber jalan dn mengitari sungai solo sungguh inovasi yg luarbiasa dr ganjar warganya doyan piknik sahabatganjar 2 	2
xe x xa xe x xa xe x xa berkomitmen menyelamatkan wisata air solo sepi pandemi gubernur menyumbang buah 1 	1
xe x xa xe x xa xe x xa berkomitmen menyelamatkan wisata air solo sepi pandemi gubernur menyumbang buah perahu wisata mengitari sungai ganjarkita 1 	1
desa wisata brayut sleman yogyakarta berupaya memulihkan terkena dampak pandemi covid memperkenalkan daya tariknya desawisatabrayut 1 	1
harapan menteri bumn erick thohir ubah kota tua objek wisata lokal bermanfaat warga bangkitkan perekonomia 2 	2
jurus gubernur ansar geliatkan ekonomi wisata kepri pasca pandemi 1 	1
harapan menteri bumn erick thohir ubah kota tua objek wisata lokal bermanfaat warga bangkitkan perekonomian warga umkm lokal pasca pandemi covid bangkitbersamaet 2 	2
pkl nya agen travel gt nder destinasi wisata pas karna pandemi jd pkl event organizer seru bangeeet xf xf xa xb 0 	0
wisata semarang bangkit pemkot lakukan persiapan pasca pandemi 1 	1
wisatawan mancanegara wisman masuk sumatera utara sumut melonjak tajam pandemi covid perekonomian global membaik jumlahwisatawanmancanegara 1 	1
fx rudi ganjar berkomitmen menyelamatkan wisata air solo sepi pandemi sahabat 2 	2
melandainya pandemi faktor menyebabkan kunjungan wisata meningkat diadakannya event internasional indonesia 1 	1
fx rudi ganjar berkomitmen menyelamatkan wisata air solo sepi pandemi buah p 0 	0
fx rudi ganjar berkomitmen menyelamatkan wisata air solo sepi pandemi sahabatganjar ganjarpranowo ganjar 2 	2
wisata bandung patuhi prokes antisipasi penyebaran covid libur sekolah jokowi majukan nusantara 2 	2
wisata bandung patuhi prokes antisipasi penyebaran covid libur sekolah maju ikn 2 	2
maju ikn 2 	2
wisata bandung patuhi prokes antisipasi penyebaran covid libur sekolah maju ikn 2 	2
wisata bandung patuhi prokes antisipasi penyebaran covid libur sekolah 2 	2
wisata bandung dminta patuhi prokes antisipasi penyebaran covid libur sekolah maju ikn 2 	2
disparbud lamongan lakukan peremajaan fasilitas wisata lamongan xe x x melandainya covid dinas pariwisata kebudayaan disparbud lamongan makamsunandrajatlamongan wisatalamongan wisatareligi gayahidup 0 	0
innalillahi wainna ilaihi rojiun berduka cita ya kak tau banget covid tuh masi meningkat wisata sekolah udah full buka 1 	1
nataru ketua dprd siak satgas penanganan covid perketat prokes objek wisata go riau 1 	1
wisata kota batu amp malang wajib kunjungi covid membaik xe xc xaa thread xe xc xa wisatamalang traveling 1 	1
cfd perdana pasca covid jombang meriah umkm diberdayakan detikcom covid covid 2 	2
cfd perdana pasca covid jombang meriah umkm diberdayakan 2 	2
pakailah masker area wisata pertunjukan musik covid indonesia signifikan 0 	0
pakailah masker area wisata pertunjukan musik covid indonesia signifikan 0 	0
karanganyar sertu hermansyah beserta anggota koramil tasikmadu melaksanakan patroli ppkm protokol kesehatan bertempat agro wisata sondokoro tasikmadu menghimbau pengunjung mentaati prokes mencegah penularan covid menerapkan m 1 	1
xe x xcselama pembicaraan perhatian bidang kerja signifikan pertukaran kemanusiaan budaya wisa 2 	2
xe x xcselama pembicaraan perhatian bidang kerja signifikan pertukaran kemanusiaan budaya wisata pendidikan difasilitasi pelonggaran pembatasan anti covid perjalanan warga rezim bebas visa 0 	0
diatur mobil g jalan wisata kepentok covid g beroperesi barunya masi off the road om dibungkus plastik jok nya karoseri adiputro 1 	1
covid juli nasib event wisata diy beritajogja jogja jogjaistimewa 2 	2
karanganyar sertu suparman beserta anggota koramil tasikmadu melaksanakan patroli ppkm argo wisata sondokoro tasikmadu menghimbau pedagang pengunjung mematuhi mentaati protokol kesehatan mencegah penularan covid dng m 1 	1
mall makan wisata lengah prokes covid salah satunya scan barcode aplikasi peduli lindungi nahhh sahabat kreatif ikutan lengah nihhh alasannya segemen hotkepo proactivity 2 	2
perubahan aturan ppkm kota bandung kapasitas event konser sektor komersil wisata jasa hiburan perwal humasbandung bandungjuara bandugsemakinjuara 2 	2
karanganyar anggota koramil colomadu serda setyo nur melaksanakan patroli pendisiplinan protokol kesehatan ppkm level pengunjung obyek wisata de tjolomadoe kecamatan colomadu selasa 0 	0
purwakarta carfreenight kuliner airmancursribaduga wisata kuliner purwakarta berencan 1 	1
purwakarta carfreenight kuliner airmancursribaduga wisata kuliner purwakarta berencana nge wiskul weekend kayanya kudu rada reschedule nih pasalnya wiskulbakal ditutup purwakarta ppkm level 1 	1
patroli keamanan penegakan ppkm gabungan anggota koramil klambu serma tomas anggota polsek klambu bripka sugeng w masyarakat berkunjung wisata wilayah kec klambu kab grobogan 1 	1
pemantauan pelaksanaan prokes ditengah aktifitas warga masyarakat wisata embung penganten desa wirun sertu indri r babinsa koramil mojolaban warga masyarakat waspada menjaga prokes ditengah diberlakukannya ppkm level 2 	2
pemantauan pelaksanaan prokes ditengah aktifitas warga masyarakat kec mojolaban wisata embung penganten petugas koramil polsek polokarto warga masyarakat waspada menjaga prokes ditengah diberlakukannya ppkm level 2 	2
kakanwil a yuspahruddin kemenkumham jateng kantor imigrasi wonosobo sosialisasikan kemudahan keimigrasian mendukung pariwisata pandemi 2 	2
kakanwil a yuspahruddin kemenkumham jateng kantor imigrasi wonosobo sosialisasikan kemudahan keimigrasian mendukung pariwisata pandemi 2 	2
negara asean dorong pemulihan sektor pariwisata pasca pandemi 1 	1
negara asean dorong pemulihan sektor pariwisata pasca pandemi 1 	1
kominfo negara anggota asean dorong pemulihan sektor pariwisata pascapandemi indonesia negara anggota asean 1 	1
conten creator upaya dinas pariwisata kabupaten malang genjot pariwisata pasca pandemi 1 	1
kantor imigrasi wonosobo sosialisasikan kemudahan keimigrasian mendukung pariwisata pandemi 2 	2
tri berharap obras kain pkk wadah silaturahmi sarana diskusi bertukar pikiran kader pkk membangun industri pariwisata ekraf seiring pelandaian pandemi covid 2 	2
pariwisata melandai akibat pandemi covid pemerintah kota pemkot tangerang dinas kebudayaan pariwisata pertamanan disbudparman gelar sosialisasi standarisasi jasa usaha pariwisata aula kecamatan tangerang selasa 2 	2
pelonggaran pembatasan sosial pandemi covid membangkitkan hasrat warga bepergian harapan pelaku usaha pariwisata ekonomi kompas 2 	2
semoga gubernur papua barat mempromosikan pariwisata papua barat memulihkan ekonomi pasca pandemi covid 1 	1
banyaknya pariwisata yg papua barat gubernur papua barat turun langsung menemui masyarakat terkait kendala aja yg semoga gubernur papua barat mempromosikan pariwisata papua barat memulihkan ekonomi pasca pandemi covid 2 	2
covid memporak porandakan ekonomi bali sektor pariwisata tumpuan ekonomi bali anjlok benteng warga kehilangan pekerjaan akibat pandemi 1 	1
kakanwil a yuspahruddin kemenkumham jateng kantor imigrasi wonosobo sosialisasikan kemudahan keimigrasian menduku 2 	2
indonesia diwujudkan dlm etalase budaya bandara langkah erick thohir sbg upaya membangkitkan perekonomian masyarakat pegiat seni budaya yg terpuruk imbas pandemi covid kemarin data pariwisata 1 	1
langkah erick thohir upaya membangkitkan perekonomian masyarakat pegiat seni budaya terpuruk imbas pandemi covid kemarin data pariwisata bangkit angka persen 1 	1
menggiatkan seni budaya pariwisata budaya paska pandemi menteri bumn erick thohir menjadikan bandara sebag 1 	1
pt pertamina menggenjot bangkitnya pelaku usaha pariwisata kuliner tertekan pandemi covid upayamemajukanumkmri dorongkemajuanekonomiri apel pagi sore karachi adani 2 	2
video eksklusif kolaborasi ketum asita nunung rusmiati kunci majukan pariwisata pasca pandemi foto savic rabos raga 2 	2
pandemi covid kemarin data pariwisata bangkit angka persen mendorong angkasa pura bandara etalase kebudayaan pungkas erick erick thohir mendorong bandara bandara 1 	1
twitter please do your magic hai tweeps siaga melawan pandemi perlahan pariwisata dibuka 1 	1
terpuruk imbas pandemi covid kemarin data pariwisata bangkit angka persen mendorong angkasa pura bandara etalase kebudayaan pungkas erick 1 	1
terpuruk imbas pandemi covid kemarin data pariwisata bangkit angka persen mendorong angkasa pura bandara etalase kebudayaan pungkas erick etsolusibudayaindonesia 1 	1
dubes ri singapura puji kerja keras plt bupati bintan geliatkan pariwisata pandemi 2 	2
parade budaya nusantara bandara soekarno hatta upaya mendukung pemulihan sektor pariwisata tertekan akibat 0 	0
acara didukung bintan resocakrawala brc dolanesia bertujuan mendukung upaya promosi pembukaan sektor pariwisata indonesia pandemi 2 	2
semoga membaiknya pandemi bertambahnya fasilitas atraksi the nusa meningkatkan minat wisatawan berkunjung kondisi pariwisata the nusa bali pulih 2 	2
menggiatkan seni budaya pariwisata budaya paska pandemi menteri bumn erick thohir menjadikan bandara etalase kebudayaan bangkitbersamaet 1 	1
kakanwil a yuspahruddin kemenkumham jateng kantor imigrasi wonosobo sosialisasikan kemudahan keimigrasian mendukung pariwisata pandemi 2 	2
pemecahan rekor muri memeriahkan hut bhayangkara bentuk kepedulian masyarakat menumbuhkan sektor pariwisata mengangkat umkm membantu pemulihan ekonomi rakyat akibat pandemi sepedaberegupecahkanrekor semarak bhayangkara 2 	2
perjuangan gubernur olly dondokambey bangkitkan pariwisata pasca pandemi 0 	0
kantor imigrasi wonosobo sosialisasikan kemudahan keimigrasian mendukung pariwisata pandemi 2 	2
kakanwil kemenkumham jateng a yuspahruddin kanim wonosobo sosialisasikan kemudahan keimigrasian dukung pariwisata kemenkumhamjateng ayuspahruddin berita kumhampasti bhpsemarang kumham kamipasti 2 	2
karanganyar kamis agustus serda antonius beserta orang anggota koramil tawangmangu melaksanakan patroli ppkm level pasar wisata tawangmangu menghimbau menerapkan protokol kesehatan beraktifitas mencegah penularan virus covid 1 	1
asuransi perjalanan covid singapura syarat masuk singapura rekomendasi wisata terbaik 1 	1
karanganyar bertempat agro wisata sondokoro sertu darmanto anggota koramil tasikmadu jajanan kodim karanganyar anggota polsek tasikmadu melaksanakan patroli pendisiplinan protokol pencegahan penularan virus covid pengunjung pedagang 1 	1
disbudpar bandung covid wisata dibatasi 1 	1
badai pandemi covid sektor pariwisata indonesia bagus indeks peringkat yg disusun world economi 1 	1
